CountryName,Country-Alpha-3Code,CountryCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,ConfirmedCases,ConfirmedDeaths,HealthIndexChange,ContainmentHealthIndex,Cases after 1 week,Cases after 2 weeks,Cases after 3 weeks,Cases after 4 weeks
Canada,CAN,124,20200309,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,62,0,1,12.88,1,1,1,1
Canada,CAN,124,20200311,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,1.00,93,1,1,21.97,1,1,1,1
Canada,CAN,124,20200312,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,1.00,103,1,1,28.79,1,1,1,1
Canada,CAN,124,20200314,0.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,2.00,2.00,1.00,176,1,1,30.30,1,1,1,1
Canada,CAN,124,20200316,3.00,0.00,2.00,3.00,0.00,1.00,0.00,1.00,2.00,2.00,1.00,304,1,1,46.21,1,1,1,1
Canada,CAN,124,20200318,3.00,3.00,2.00,3.00,0.00,1.00,0.00,4.00,2.00,2.00,1.00,569,8,1,60.61,1,1,1,1
Canada,CAN,124,20200319,3.00,3.00,2.00,3.00,0.00,1.00,0.00,4.00,2.00,3.00,1.00,690,9,1,63.64,1,1,1,1
Canada,CAN,124,20200320,3.00,3.00,2.00,3.00,0.00,1.00,2.00,4.00,2.00,3.00,1.00,846,10,1,71.97,1,1,1,1
Canada,CAN,124,20200323,3.00,3.00,2.00,4.00,0.00,1.00,2.00,4.00,2.00,3.00,1.00,1430,20,1,73.11,1,1,1,1
Canada,CAN,124,20200401,3.00,3.00,2.00,4.00,0.00,1.00,2.00,4.00,2.00,3.00,1.00,8536,96,1,74.62,1,1,1,1
Canada,CAN,124,20200404,3.00,3.00,2.00,4.00,0.00,1.00,2.00,4.00,2.00,3.00,1.00,12519,187,1,73.11,1,1,1,1
Canada,CAN,124,20200511,3.00,3.00,2.00,4.00,0.00,1.00,2.00,4.00,2.00,3.00,1.00,68848,4871,1,71.59,1,1,1,1
Canada,CAN,124,20200612,3.00,3.00,1.00,4.00,0.00,1.00,2.00,4.00,2.00,3.00,1.00,97519,7994,1,67.05,-1,-1,-1,-1
China,CHN,156,20200101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,27,0,1,7.58,1,1,1,1
China,CHN,156,20200105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,59,0,1,14.39,1,1,1,1
China,CHN,156,20200115,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,59,2,1,18.94,1,1,1,1
China,CHN,156,20200122,0.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,526,17,1,33.71,1,1,1,1
China,CHN,156,20200123,0.00,0.00,2.00,4.00,2.00,1.00,2.00,0.00,2.00,1.00,2.00,623,17,1,48.86,1,1,1,1
China,CHN,156,20200125,0.00,0.00,2.00,4.00,2.00,1.00,2.00,0.00,2.00,1.00,2.00,1323,41,1,51.14,1,1,1,1
China,CHN,156,20200126,3.00,3.00,2.00,4.00,2.00,1.00,2.00,0.00,2.00,1.00,2.00,1988,56,1,69.32,1,1,1,1
China,CHN,156,20200201,3.00,3.00,2.00,4.00,2.00,3.00,2.00,0.00,2.00,1.00,2.00,11809,259,1,75.38,1,1,1,1
China,CHN,156,20200210,3.00,3.00,2.00,4.00,2.00,3.00,2.00,0.00,2.00,1.00,2.00,40206,909,1,73.86,1,1,-1,-1
China,CHN,156,20200216,3.00,3.00,2.00,4.00,2.00,3.00,2.00,0.00,2.00,2.00,2.00,68566,1666,1,76.89,-1,-1,-1,-1
China,CHN,156,20200225,3.00,3.00,2.00,4.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,77749,2665,1,81.44,-1,-1,-1,-1
