CountryName,Country-Alpha-3Code,CountryCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,ConfirmedCases,ConfirmedDeaths,HealthIndexChange,ContainmentHealthIndex,Cases after 1 week,Cases after 2 weeks,Cases after 3 weeks,Cases after 4 weeks
Australia,AUS,040,20200722,2,2,2,4,1,2,2,4,2,3,2,12428,126,0,73.86,,,,
Australia,AUS,040,20200723,2,2,2,4,1,2,2,4,2,3,2,12896,128,0,73.86,,,,
Australia,AUS,040,20200724,2,2,2,4,1,2,2,4,2,3,2,13306,133,0,73.86,,,,
Australia,AUS,040,20200725,2,2,2,4,1,2,2,4,2,3,2,13595,139,0,73.86,,,,
Australia,AUS,040,20200726,2,2,2,4,1,2,2,4,2,3,2,13950,145,0,73.86,,,,
Australia,AUS,040,20200727,2,2,2,4,1,2,2,4,2,3,2,14403,155,0,73.86,,,,
Brazil,BRA,76,20200226,0,0,0,0,0,0,0,0,1,1,0,1,0,1,7.58,1,1,1,1
Brazil,BRA,76,20200227,0,0,0,0,0,0,0,0,1,1,0,1,0,0,7.58,,,,
Brazil,BRA,76,20200228,0,0,0,0,0,0,0,0,1,1,0,1,0,0,7.58,,,,
Brazil,BRA,76,20200229,0,0,0,0,0,0,0,0,1,1,0,1,0,0,7.58,,,,
Brazil,BRA,76,20200301,0,0,0,0,0,0,0,0,1,1,0,2,0,0,7.58,,,,
Brazil,BRA,76,20200302,0,0,0,0,0,0,0,0,2,1,0,2,0,1,12.12,1,1,1,1
Brazil,BRA,76,20200303,0,0,0,0,0,0,0,0,2,1,0,2,0,0,12.12,,,,
Brazil,BRA,76,20200304,0,0,0,0,0,0,0,0,2,1,0,2,0,0,12.12,,,,
Brazil,BRA,76,20200305,0,0,0,0,0,0,0,0,2,1,0,3,0,0,12.12,,,,
Brazil,BRA,76,20200306,0,0,0,0,0,0,0,0,2,1,0,8,0,0,12.12,,,,
Brazil,BRA,76,20200307,0,0,0,0,0,0,0,0,2,1,0,13,0,0,12.12,,,,
Brazil,BRA,76,20200308,0,0,0,0,0,0,0,0,2,1,0,13,0,0,12.12,,,,
Brazil,BRA,76,20200309,0,0,0,0,0,0,0,0,2,1,0,25,0,0,12.12,,,,
Brazil,BRA,76,20200310,0,0,0,0,0,0,0,0,2,1,0,25,0,0,12.12,,,,
Brazil,BRA,76,20200311,0,0,0,0,0,0,0,0,2,1,0,34,0,0,12.12,,,,
Brazil,BRA,76,20200312,3,0,2,0,0,0,0,0,2,1,0,52,0,1,26.52,1,1,1,1
Brazil,BRA,76,20200313,3,1,2,0,0,1,0,2,2,1,0,77,0,1,34.09,1,1,1,1
Brazil,BRA,76,20200314,3,1,2,2,0,1,0,2,2,1,0,98,0,1,37.5,1,1,1,1
Brazil,BRA,76,20200315,3,1,2,2,0,1,0,2,2,1,0,121,0,0,37.5,,,,
Brazil,BRA,76,20200316,3,1,2,2,0,1,0,2,2,1,0,200,0,0,37.5,,,,
Brazil,BRA,76,20200317,3,3,2,2,0,1,2,2,2,1,0,234,0,1,50.38,1,1,1,1
Brazil,BRA,76,20200318,3,3,2,3,0,1,2,2,2,1,0,291,1,1,52.65,1,1,1,1
Brazil,BRA,76,20200319,3,3,2,3,1,1,2,3,2,1,0,428,4,1,57.2,1,1,1,1
Brazil,BRA,76,20200320,3,3,2,3,1,1,2,3,2,1,0,621,6,0,57.2,,,,
Brazil,BRA,76,20200321,3,3,2,3,2,1,2,3,2,1,0,904,11,1,61.74,1,1,1,1
Brazil,BRA,76,20200322,3,3,2,3,2,1,2,3,2,1,0,1128,18,0,61.74,,,,
Brazil,BRA,76,20200323,3,3,2,3,2,1,2,3,2,1,0,1546,25,0,61.74,,,,
Brazil,BRA,76,20200324,3,3,2,3,2,1,2,3,2,1,0,1891,34,0,61.74,,,,
Brazil,BRA,76,20200325,3,3,2,3,2,1,2,3,2,1,0,2201,46,0,61.74,,,,
Brazil,BRA,76,20200326,3,3,2,3,2,1,2,3,2,1,0,2433,57,0,61.74,,,,
Brazil,BRA,76,20200327,3,3,2,3,2,1,2,4,2,1,0,2915,77,1,64.02,1,1,1,1
Brazil,BRA,76,20200328,3,3,2,3,2,1,2,4,2,1,0,3417,92,0,64.02,,,,
Brazil,BRA,76,20200329,3,3,2,3,2,1,2,4,2,1,0,3904,114,0,64.02,,,,
Brazil,BRA,76,20200330,3,3,2,3,2,1,2,4,2,1,0,4256,136,0,64.02,,,,
Brazil,BRA,76,20200331,3,3,2,3,2,1,2,4,2,1,0,4579,159,0,64.02,,,,
Brazil,BRA,76,20200401,3,3,2,3,2,1,2,4,2,1,0,5717,201,0,64.02,,,,
Brazil,BRA,76,20200402,3,3,2,3,2,1,2,4,2,1,0,6836,241,0,64.02,,,,
Brazil,BRA,76,20200403,3,3,2,3,2,1,2,4,2,1,0,7910,299,0,64.02,,,,
Brazil,BRA,76,20200404,3,3,2,3,2,1,2,4,2,1,0,9056,359,0,64.02,,,,
Brazil,BRA,76,20200405,3,3,2,3,2,1,2,4,2,1,0,10278,432,0,64.02,,,,
Brazil,BRA,76,20200406,3,3,2,3,2,1,2,4,2,1,0,11130,486,0,64.02,,,,
Brazil,BRA,76,20200407,3,3,2,3,2,1,2,4,2,1,0,12056,553,0,64.02,,,,
Brazil,BRA,76,20200408,3,3,2,3,2,1,2,4,2,1,0,13717,667,0,64.02,,,,
Brazil,BRA,76,20200409,3,3,2,3,2,1,2,4,2,1,0,15927,800,0,64.02,,,,
Brazil,BRA,76,20200410,3,3,2,3,2,1,2,4,2,1,0,17857,941,0,64.02,,,,
Brazil,BRA,76,20200411,3,3,2,3,2,1,2,4,2,1,0,19638,1056,0,64.02,,,,
Brazil,BRA,76,20200412,3,3,2,3,2,1,2,4,2,1,0,20727,1124,0,64.02,,,,
Brazil,BRA,76,20200413,3,3,2,3,2,1,2,4,2,1,0,22169,1223,0,64.02,,,,
Brazil,BRA,76,20200414,3,3,2,3,2,1,2,4,2,1,0,23430,1328,0,64.02,,,,
Brazil,BRA,76,20200415,3,3,2,3,2,1,2,4,2,1,0,25262,1532,0,64.02,,,,
Brazil,BRA,76,20200416,3,3,2,3,2,1,2,4,2,1,0,28320,1736,0,64.02,,,,
Brazil,BRA,76,20200417,3,3,2,3,2,1,2,4,2,1,0,30425,1924,0,64.02,,,,
Brazil,BRA,76,20200418,3,3,2,3,2,1,2,4,2,1,0,33682,2141,0,64.02,,,,
Brazil,BRA,76,20200419,3,3,2,3,2,1,2,4,2,1,0,36599,2347,0,64.02,,,,
Brazil,BRA,76,20200420,3,3,2,3,2,1,2,4,2,1,0,38654,2462,0,64.02,,,,
Brazil,BRA,76,20200421,3,3,2,3,2,1,2,4,2,1,0,40581,2575,0,64.02,,,,
Brazil,BRA,76,20200422,3,3,2,3,2,1,2,4,2,1,0,43079,2741,0,64.02,,,,
Brazil,BRA,76,20200423,3,3,2,3,2,1,2,4,2,1,0,45757,2906,0,64.02,,,,
Brazil,BRA,76,20200424,3,3,2,3,2,1,2,4,2,1,0,49492,3313,0,64.02,,,,
Brazil,BRA,76,20200425,3,3,2,3,2,1,2,4,2,1,0,52995,3670,0,64.02,,,,
Brazil,BRA,76,20200426,3,3,2,4,2,1,2,4,2,1,0,58509,4016,1,66.29,1,1,1,1
Brazil,BRA,76,20200427,3,3,2,4,2,1,2,4,2,1,0,61888,4205,0,66.29,,,,
Brazil,BRA,76,20200428,3,3,2,4,2,1,2,4,2,1,0,66501,4543,0,66.29,,,,
Brazil,BRA,76,20200429,3,3,2,4,2,1,2,4,2,1,0,71886,5017,0,66.29,,,,
Brazil,BRA,76,20200430,3,3,2,4,2,1,2,4,2,1,0,78162,5466,0,66.29,,,,
Brazil,BRA,76,20200501,3,3,2,4,2,1,2,4,2,1,0,85380,5901,0,66.29,,,,
Brazil,BRA,76,20200502,3,3,2,4,2,1,2,4,2,1,0,91589,6329,0,66.29,,,,
Brazil,BRA,76,20200503,3,3,2,4,2,1,2,4,2,1,0,96559,6750,0,66.29,,,,
