CountryName,CountryCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,ConfirmedCases,ConfirmedDeaths,HealthIndexChange,ContainmentHealthIndex,Cases after 1 week,Cases after 2 weeks,Cases after 3 weeks,Cases after 4 weeks
Australia,AUS,20200125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,1,0,1,18.94,1,1,1,1
Australia,AUS,20200126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,4,0,0,18.94,,,,
Australia,AUS,20200127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,4,0,0,18.94,,,,
Australia,AUS,20200128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,4,0,0,18.94,,,,
Australia,AUS,20200129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,4,0,0,18.94,,,,
Australia,AUS,20200130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,6,0,0,18.94,,,,
Australia,AUS,20200131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,7,0,0,18.94,,,,
Australia,AUS,20200201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,9,0,1,25.76,1,1,1,1
Australia,AUS,20200202,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,11,0,0,25.76,,,,
Australia,AUS,20200203,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,11,0,1,28.03,1,1,1,1
Australia,AUS,20200204,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,11,0,0,28.03,,,,
Australia,AUS,20200205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,12,0,0,28.03,,,,
Australia,AUS,20200206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,13,0,0,28.03,,,,
Australia,AUS,20200207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,14,0,0,28.03,,,,
Australia,AUS,20200208,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,14,0,0,28.03,,,,
Australia,AUS,20200209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,14,0,0,28.03,,,,
Australia,AUS,20200210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,14,0,0,28.03,,,,
Australia,AUS,20200211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,14,0,0,28.03,,,,
Australia,AUS,20200212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,14,0,0,28.03,,,,
Australia,AUS,20200213,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,14,0,0,28.03,,,,
Australia,AUS,20200214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,15,0,0,28.03,,,,
Australia,AUS,20200215,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,15,0,0,28.03,,,,
Australia,AUS,20200216,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,15,0,0,28.03,,,,
Australia,AUS,20200217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,15,0,0,28.03,,,,
Australia,AUS,20200218,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,15,0,0,28.03,,,,
Australia,AUS,20200219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,15,0,0,28.03,,,,
Australia,AUS,20200220,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,15,0,0,28.03,,,,
Australia,AUS,20200221,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,17,0,0,28.03,,,,
Australia,AUS,20200222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,21,0,0,28.03,,,,
Australia,AUS,20200223,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,22,0,0,28.03,,,,
Australia,AUS,20200224,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,22,0,0,28.03,,,,
Australia,AUS,20200225,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,22,0,0,28.03,,,,
Australia,AUS,20200226,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,22,0,0,28.03,,,,
Australia,AUS,20200227,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,23,0,0,28.03,,,,
Australia,AUS,20200228,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,23,0,0,28.03,,,,
Australia,AUS,20200229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,25,0,0,28.03,,,,
Australia,AUS,20200301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,26,1,0,28.03,,,,
Australia,AUS,20200302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,29,1,0,28.03,,,,
